 Brainwave Value
 1853 
 2047 
 -2048 
 -2048 
 -278 
 2047 
 2047 
 -407 
 -2048 
 -2048 
 -429 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 1794 
 -2048 
 -2048 
 -2048 
 2047 
 -999 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1395 
 -2048 
 -2048 
 1264 
 2047 
 2047 
 -1418 
 -2048 
 -2048 
 1157 
 2047 
 -2048 
 -2048 
 -1322 
 2047 
 2047 
 624 
 -2048 
 -2048 
 -1463 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 208 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 -2048 
 -2048 
 7 
 2047 
 2047 
 -403 
 -2048 
 -2048 
 -235 
 2047 
 -2048 
 -2048 
 -2027 
 2047 
 2047 
 1980 
 -2048 
 -2048 
 -2048 
 2047 
 -936 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1430 
 -2048 
 -2048 
 1324 
 2047 
 2047 
 -1625 
 -2048 
 -2048 
 695 
 2047 
 -2048 
 -2048 
 -1179 
 2047 
 2047 
 930 
 -2048 
 -2048 
 -1234 
 2047 
 -1978 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 285 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 -2048 
 -2048 
 26 
 2047 
 2047 
 -296 
 -2048 
 -2048 
 -18 
 2047 
 -2048 
 -2048 
 -1931 
 2047 
 2047 
 2011 
 -2048 
 -2048 
 -2048 
 2047 
 -902 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1305 
 -2048 
 -2048 
 1187 
 2047 
 2047 
 -1661 
 -2048 
 -2048 
 758 
 2047 
 -2048 
 -2048 
 -1354 
 2047 
 2047 
 827 
 -2048 
 -2048 
 -1208 
 2047 
 -1989 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 282 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 -2048 
 -2048 
 -307 
 2047 
 2047 
 -418 
 -2048 
 -2048 
 -203 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 2047 
 1843 
 -2048 
 -2048 
 -2048 
 2047 
 -1017 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
 2047 
 1335 
 -2048 
 -2048 
 1030 
 2047 
 2047 
 -1618 
 -2048 
 -2048 
 701 
 2047 
 -2048 
 -2048 
 -1444 
 2047 
 2047 
 758 
 -2048 
 -2048 
 -1443 
 2047 
 -2038 
 -2048 
 -2048 
 2047 
 2047 
 2047 
 -2048 
 -2048 
 -2048 
